year,div,value
2004,sum_mid,527
2004,sum_dev,17661
2005,sum_mid,681
2005,sum_dev,12168
2006,sum_mid,717
2006,sum_dev,7947
2007,sum_mid,688
2007,sum_dev,9133
2008,sum_mid,683
2008,sum_dev,10386
2009,sum_mid,1002
2009,sum_dev,12589
2010,sum_mid,533
2010,sum_dev,13005
2011,sum_mid,668
2011,sum_dev,13050
2012,sum_mid,690625
2012,sum_dev,28463
2013,sum_mid,2366657
2013,sum_dev,48717
2014,sum_mid,3701082
2014,sum_dev,92540
